id,cheque_ref,value_date,transaction_date,transaction_remarks,category,withdrawal,deposit
1,Unknown,Needs Review,Needs Review,"Transaction
Remarks",ATM Withdrawal,0,0
2,436251,"01-Sep-2024
09:00:23","01-Sep-2024
09:00:23","UPI/REF983457234
Payment",Food & Dining,0,50000
3,936412,"01-Sep-2024
09:05:02","01-Sep-2024
09:05:02",ATM Withdrawal,ATM Withdrawal,2000,0
4,351286,"01-Sep-2024
10:12:45","01-Sep-2024
10:12:45","NEFT/INR/457832
Salary",Salary,0,40000
5,125874,"01-Sep-2024
11:30:11","01-Sep-2024
11:30:11","IMPS/REF1029384
Online Transfer",Transfers,5000,0
6,412398,"02-Sep-2024
08:45:37","02-Sep-2024
08:45:37","UPI Payment:
Grocery Store",Food,2500,0
7,534167,"02-Sep-2024
09:02:10","02-Sep-2024
09:02:10","NEFT/INR/234899
Commission",Salary,0,8000
8,918723,"02-Sep-2024
10:10:09","02-Sep-2024
10:10:09","POS Debit:
Restaurant",Food,1500,0
9,732615,"02-Sep-2024
13:22:56","02-Sep-2024
13:22:56","IMPS/REF857463
Loan EMI",Loan EMI,10000,0
10,218364,"03-Sep-2024
08:01:33","03-Sep-2024
08:01:33","UPI Refund:
eCommerce",Shopping,0,3000
11,884215,"03-Sep-2024
09:43:21","03-Sep-2024
09:43:21",ATM Withdrawal,ATM Withdrawal,2000,0
12,516942,"03-Sep-2024
11:59:05","03-Sep-2024
11:59:05","NEFT/INR/672154
Bonus",Salary,0,10000
13,734129,"03-Sep-2024
15:15:42","03-Sep-2024
15:15:42","UPI Payment: Utility
Bill",Transfers,2200,0
14,124578,"04-Sep-2024
07:50:50","04-Sep-2024
07:50:50","POS Debit:
Pharmacy",ATM Withdrawal,800,0
15,925634,"04-Sep-2024
08:35:11","04-Sep-2024
08:35:11","IMPS/REF563728
Household Help",Transfers,0,3000
16,366219,"04-Sep-2024
09:10:02","04-Sep-2024
09:10:02","UPI Payment:
Mobile Recharge",Transfers,299,0
17,771245,"04-Sep-2024
10:01:31","04-Sep-2024
10:01:31","NEFT/INR/343210
Salary",Salary,0,40000
18,942351,"05-Sep-2024
09:33:47","05-Sep-2024
09:33:47",Cheque Deposit,ATM Withdrawal,0,15000
19,665218,"05-Sep-2024
10:12:09","05-Sep-2024
10:12:09",ATM Withdrawal,ATM Withdrawal,5000,0
