Sr No,Transaction Ref No,Value Date,Transaction Date,Cheque No,transaction_remarks,Withdrawal ,Deposit ,Balance
1,TXN263449,10/9/2024,10/9/2024 18:44,732725,,0,4314,54314
2,TXN702080,29/09/2024,29/09/2024 08:15:15,,Interest Credit,2513,0,51801
3,TXN661406,22/09/2024,22/09/2024 19:57:55,,POS/Shopping,2447,0,49354
4,TXN266227,27/09/2024,27/09/2024 01:34:46,515678,Misc Expense,4984,0,44370
5,TXN734975,14/09/2024,14/09/2024 11:13:23,898699,,2094,0,42276
6,TXN989346,21/09/2024,21/09/2024 04:34:13,,IMPS Transfer,0,8319,50595
7,TXN959177,19/09/2024,19/09/2024 04:28:37,,Loan EMI,4061,0,46534
8,TXN315734,18/09/2024,18/09/2024 18:09:38,400409,Utility Payment,0,1231,47765
9,TXN352577,14/09/2024,14/09/2024 21:36:17,,Misc Expense,2108,0,45657
10,TXN183671,9/9/2024,9/9/2024 0:07,968854,Misc Expense,0,1458,47115
11,TXN585249,3/9/2024,3/9/2024 23:15,518762,POS/Shopping,4949,0,42166
12,TXN389027,9/9/2024,9/9/2024 4:02,,POS/Shopping,3641,0,38525
13,TXN464939,4/9/2024,4/9/2024 15:07,,POS/Shopping,0,8749,47274
14,TXN985554,10/9/2024,10/9/2024 0:04,,NEFT Transfer,2762,0,44512
15,TXN834138,6/9/2024,6/9/2024 1:13,630724,NEFT Transfer,0,8274,52786
16,TXN129852,22/09/2024,22/09/2024 12:58:40,,Utility Payment,482,0,52304
17,TXN594209,9/9/2024,9/9/2024 0:09,,POS/Shopping,0,655,52959
18,TXN952901,14/09/2024,14/09/2024 20:46:28,,,3175,0,49784
19,TXN258724,5/9/2024,5/9/2024 14:51,,Interest Credit,0,2272,52056
20,TXN798793,18/09/2024,18/09/2024 23:39:36,767446,IMPS Transfer,0,2083,54139
21,TXN357302,23/09/2024,23/09/2024 04:13:47,,POS/Shopping,0,9416,63555
22,TXN283954,18/09/2024,18/09/2024 15:26:30,208060,ATM Withdrawal,0,3833,67388
23,TXN222496,8/9/2024,8/9/2024 16:37,825908,Loan EMI,3989,0,63399
24,TXN459907,24/09/2024,24/09/2024 10:10:05,,Interest Credit,,5281,68680
25,TXN212357,23/09/2024,23/09/2024 14:20:05,,,0,5921,74601
26,TXN942954,28/09/2024,28/09/2024 11:52:03,,IMPS Transfer,456,0,74145
27,TXN447513,10/9/2024,10/9/2024 19:30,609384,Utility Payment,1439,0,72706
28,TXN308016,2/9/2024,2/9/2024 7:28,263690,,2656,0,70050
29,TXN519794,7/9/2024,7/9/2024 10:16,719462,NEFT Transfer,2762,0,67288
30,TXN570069,9/9/2024,9/9/2024 3:03,,POS/Shopping,0,2224,69512
31,TXN997716,1/9/2024,1/9/2024 9:58,,Misc Expense,0,9212,78724
32,TXN537982,16/09/2024,16/09/2024 23:13:38,555361,,2767,0,75957
33,TXN352108,25/09/2024,25/09/2024 12:44:26,,IMPS Transfer,3226,0,72731
34,TXN978159,3/9/2024,3/9/2024 8:29,170886,Utility Payment,2574,0,70157
35,TXN925533,12/9/2024,12/9/2024 8:39,959358,Misc Expense,1707,0,68450
36,TXN712759,12/9/2024,12/9/2024 1:28,,UPI/Transfer,1906,0,66544
37,TXN388525,24/09/2024,24/09/2024 23:35:06,,IMPS Transfer,3468,0,63076
38,TXN675387,15/09/2024,15/09/2024 17:27:07,891939,Utility Payment,0,7073,70149
39,TXN572154,6/9/2024,6/9/2024 10:17,,Salary Credit,4957,0,65192
40,TXN717186,2/9/2024,2/9/2024 21:56,,ATM Withdrawal,0,2160,67352
41,TXN424745,7/9/2024,7/9/2024 23:19,,UPI/Transfer,2731,0,64621
42,TXN839699,8/9/2024,8/9/2024 13:20,731848,Interest Credit,0,2529,67150
43,TXN415458,27/09/2024,27/09/2024 17:06:58,,NEFT Transfer,0,8146,75296
44,TXN624643,17/09/2024,17/09/2024 12:57:47,781228,Misc Expense,0,272,75568
45,TXN765962,2/9/2024,2/9/2024 18:48,463225,Interest Credit,2205,0,73363
46,TXN340889,7/9/2024,7/9/2024 23:10,,Utility Payment,438,0,72925
47,TXN875839,6/9/2024,6/9/2024 7:37,698621,Salary Credit,0,7514,80439
48,TXN822898,4/9/2024,4/9/2024 0:43,,IMPS Transfer,0,2000,82439
49,TXN559479,27/09/2024,27/09/2024 16:11:34,469176,Utility Payment,1320,0,81119
50,TXN432321,21/09/2024,21/09/2024 00:21:25,923984,UPI/Transfer,0,457,81576
51,TXN407915,6/9/2024,6/9/2024 9:37,,,1660,0,79916
52,TXN151745,9/9/2024,9/9/2024 1:42,,Interest Credit,0,1236,81152
53,TXN728321,8/9/2024,8/9/2024 13:01,,,0,7236,88388
54,TXN422865,19/09/2024,19/09/2024 21:49:41,582292,Utility Payment,1003,0,87385
55,TXN555221,11/9/2024,11/9/2024 2:22,,Misc Expense,0,3970,91355
56,TXN780954,21/09/2024,21/09/2024 04:46:00,783824,Utility Payment,0,3233,94588
57,TXN611907,2/9/2024,2/9/2024 3:24,,IMPS Transfer,4689,0,89899
58,TXN444573,10/9/2024,10/9/2024 5:12,369664,POS/Shopping,0,4036,93935
59,TXN158875,5/9/2024,5/9/2024 16:59,,POS/Shopping,,0,93935
60,TXN208473,2/9/2024,2/9/2024 12:29,,Utility Payment,0,8260,102195
61,TXN991230,9/9/2024,9/9/2024 12:22,655089,POS/Shopping,0,,102195
62,TXN313427,16/09/2024,16/09/2024 21:14:50,711306,IMPS Transfer,4532,0,97663
63,TXN804668,9/9/2024,9/9/2024 17:31,541735,ATM Withdrawal,0,4412,102075
64,TXN253512,4/9/2024,4/9/2024 20:16,,,0,6722,108797
65,TXN186758,8/9/2024,8/9/2024 19:38,,,0,9851,118648
66,TXN520268,10/9/2024,10/9/2024 3:04,,,1504,0,117144
67,TXN622218,19/09/2024,19/09/2024 21:05:00,500386,,4845,0,112299
68,TXN104022,13/09/2024,13/09/2024 19:11:41,456435,Misc Expense,4935,0,107364
69,TXN253660,8/9/2024,8/9/2024 2:08,,Loan EMI,1993,0,105371
70,TXN428121,26/09/2024,26/09/2024 06:10:40,,Misc Expense,3287,0,102084
71,TXN343067,12/9/2024,12/9/2024 1:14,687502,NEFT Transfer,1031,0,101053
72,TXN736001,12/9/2024,12/9/2024 14:12,793902,Misc Expense,4209,0,96844
73,TXN529414,17/09/2024,17/09/2024 00:24:29,,NEFT Transfer,3546,0,93298
74,TXN461348,9/9/2024,9/9/2024 4:08,145572,Misc Expense,0,3546,96844
75,TXN816754,10/9/2024,10/9/2024 22:24,,Salary Credit,623,0,96221
76,TXN465228,23/09/2024,23/09/2024 09:34:55,289652,Salary Credit,0,3103,99324
77,TXN429678,2/9/2024,2/9/2024 7:31,,Misc Expense,556,0,98768
78,TXN275935,18/09/2024,18/09/2024 11:16:26,151312,Interest Credit,0,4794,103562
79,TXN450523,7/9/2024,7/9/2024 12:59,,IMPS Transfer,0,6066,109628
80,TXN622099,11/9/2024,11/9/2024 6:00,,Utility Payment,0,4158,113786
81,TXN551824,25/09/2024,25/09/2024 22:56:25,,ATM Withdrawal,3642,0,110144
82,TXN219416,30/09/2024,30/09/2024 02:30:51,,Utility Payment,1756,0,108388
